chain_symbol,expiration_date,strike_price,option_type,side,order_created_at,direction,order_quantity,order_type,opening_strategy,closing_strategy,price,processed_quantity
NIO,2021-04-01,35.0000,put,sell,2021-03-30T17:28:45.943184Z,credit,1.00000,limit,short_put,,0.32000000,1.00000
CLOV,2021-04-16,10.0000,call,buy,2021-03-30T13:46:14.204957Z,debit,1.00000,limit,,short_call,0.05000000,1.00000
GOLD,2021-04-09,20.5000,call,sell,2021-03-30T13:44:06.134344Z,credit,1.00000,limit,short_call,,0.16000000,1.00000
KO,2021-04-01,54.0000,call,sell,2021-03-30T13:42:25.397713Z,credit,1.00000,limit,short_call,,0.12000000,1.00000
RKT,2021-04-01,21.8900,put,buy,2021-03-30T13:41:13.334406Z,debit,1.00000,limit,,short_put,0.09000000,1.00000
KO,2021-04-01,54.5000,call,buy,2021-03-30T13:33:04.230255Z,debit,1.00000,limit,,short_call,0.07000000,1.00000
GOLD,2021-04-01,20.5000,call,buy,2021-03-30T13:32:32.023684Z,debit,1.00000,limit,,short_call,0.04000000,1.00000
PLTR,2021-04-09,24.5000,call,sell,2021-03-29T18:38:09.043735Z,credit,1.00000,limit,short_call,,0.23000000,1.00000
KO,2021-04-01,54.5000,call,sell,2021-03-29T17:55:19.348341Z,credit,1.00000,limit,short_call,,0.12000000,1.00000
RKT,2021-04-01,21.8900,put,sell,2021-03-29T17:53:46.619964Z,credit,1.00000,limit,short_put,,0.31000000,1.00000
PLTR,2021-04-09,25.0000,call,sell,2021-03-29T17:32:28.617231Z,credit,1.00000,limit,short_call,,0.21000000,1.00000
PLTR,2021-04-01,25.0000,call,buy,2021-03-29T16:51:23.437211Z,debit,1.00000,limit,,short_call,0.04000000,1.00000
PLTR,2021-04-01,26.0000,call,buy,2021-03-29T13:49:12.208338Z,debit,1.00000,limit,,short_call,0.04000000,1.00000
RKT,2021-04-01,21.3900,put,buy,2021-03-29T13:30:58.781315Z,debit,1.00000,limit,,short_put,0.08000000,1.00000
SWN,2021-04-09,4.5000,put,sell,2021-03-26T18:10:39.148580Z,credit,2.00000,limit,short_put,,0.11000000,2.00000
RKT,2021-04-01,21.3900,put,sell,2021-03-26T18:04:12.883163Z,credit,1.00000,limit,short_put,,0.42000000,1.00000
DBX,2021-04-01,28.0000,call,buy,2021-03-26T17:48:19.674905Z,debit,1.00000,limit,,short_call,0.15000000,1.00000
RKT,2021-03-26,21.8900,put,buy,2021-03-26T17:46:41.942848Z,debit,1.00000,limit,,short_put,0.04000000,1.00000
PLTR,2021-04-01,26.0000,call,sell,2021-03-25T17:26:24.636351Z,credit,1.00000,limit,short_call,,0.12000000,1.00000
SFT,2021-04-16,7.5000,put,sell,2021-03-25T14:10:00.096681Z,credit,1.00000,limit,short_put,,0.50000000,1.00000
NNDM,2021-04-16,7.5000,put,sell,2021-03-24T16:15:10.793088Z,credit,1.00000,limit,short_put,,0.28000000,1.00000
GOLD,2021-04-01,20.5000,call,sell,2021-03-24T15:11:33.540591Z,credit,1.00000,limit,short_call,,0.21000000,1.00000
GOLD,2021-04-01,21.0000,call,buy,2021-03-24T15:11:00.331918Z,debit,1.00000,limit,,short_call,0.11000000,1.00000
PLTR,2021-04-01,28.0000,call,buy,2021-03-24T14:48:21.385791Z,debit,1.00000,limit,,short_call,0.10000000,1.00000
PLTR,2021-04-01,25.0000,call,sell,2021-03-24T14:16:41.470685Z,credit,1.00000,limit,short_call,,0.34000000,1.00000
PLTR,2021-04-01,27.0000,call,buy,2021-03-24T14:16:24.474412Z,debit,1.00000,limit,,short_call,0.14000000,1.00000
TTCF,2021-04-16,17.5000,put,sell,2021-03-23T15:22:53.453945Z,credit,1.00000,limit,short_put,,0.40000000,1.00000
GOLD,2021-04-01,21.0000,call,sell,2021-03-23T14:57:25.150184Z,credit,1.00000,limit,short_call,,0.16000000,1.00000
TTCF,2021-04-16,20.0000,put,buy,2021-03-23T14:33:19.061081Z,debit,1.00000,limit,,short_put,1.35000000,1.00000
GOLD,2021-03-26,21.5000,call,buy,2021-03-23T14:09:55.492983Z,debit,1.00000,limit,,short_call,0.03000000,1.00000
NOK,2021-03-26,4.0000,put,buy,2021-03-23T13:36:56.068362Z,debit,1.00000,limit,,short_put,0.05000000,1.00000
NOK,2021-03-26,4.0000,put,sell,2021-03-22T19:30:41.152799Z,credit,1.00000,limit,short_put,,0.05000000,1.00000
CRSR,2021-04-16,40.0000,call,sell,2021-03-22T14:20:18.637314Z,credit,1.00000,limit,short_call,,0.40000000,1.00000
CRSR,2021-04-16,40.0000,call,buy,2021-03-22T14:13:50.993990Z,debit,1.00000,limit,,short_call,0.35000000,1.00000
PLTR,2021-04-01,28.0000,call,sell,2021-03-22T14:11:12.088376Z,credit,1.00000,limit,short_call,,0.21000000,1.00000
PLTR,2021-04-01,27.0000,call,sell,2021-03-22T13:51:16.617344Z,credit,1.00000,limit,short_call,,0.33000000,1.00000
EXPI,2021-04-16,35.0000,put,sell,2021-03-22T13:50:29.212827Z,credit,1.00000,limit,short_put,,0.45000000,1.00000
PLTR,2021-04-01,22.0000,put,buy,2021-03-22T13:49:22.800201Z,debit,1.00000,limit,,short_put,0.34000000,1.00000
MARA,2021-04-01,27.0000,put,buy,2021-03-22T13:45:59.409341Z,debit,1.00000,limit,,short_put,0.30000000,1.00000
SFT,2021-04-16,7.5000,put,buy,2021-03-22T13:31:27.943822Z,debit,1.00000,limit,,short_put,0.35000000,1.00000
PLTR,2021-03-26,29.0000,call,buy,2021-03-19T18:29:40.911112Z,debit,1.00000,limit,,short_call,0.10000000,1.00000
MARA,2021-04-01,27.0000,put,sell,2021-03-19T18:12:45.751118Z,credit,1.00000,limit,short_put,,0.39000000,1.00000
MARA,2021-04-01,25.0000,put,buy,2021-03-19T14:12:00.407118Z,debit,1.00000,limit,,short_put,0.34000000,1.00000
PLTR,2021-03-26,29.0000,call,sell,2021-03-18T19:11:16.605750Z,credit,1.00000,limit,short_call,,0.20000000,1.00000
PLTR,2021-04-01,29.5000,call,buy,2021-03-18T19:02:08.862724Z,debit,1.00000,limit,,short_call,0.39000000,1.00000
MARA,2021-04-01,25.0000,put,sell,2021-03-18T18:53:29.368015Z,credit,1.00000,limit,short_put,,0.46000000,1.00000
CRSR,2021-04-16,40.0000,call,sell,2021-03-18T17:16:24.276965Z,credit,1.00000,limit,short_call,,0.80000000,1.00000
PLTR,2021-04-01,22.0000,put,sell,2021-03-18T16:32:06.787023Z,credit,1.00000,limit,short_put,,0.41000000,1.00000
MARA,2021-03-26,25.0000,put,buy,2021-03-18T14:18:21.718500Z,debit,1.00000,limit,,short_put,0.13000000,1.00000
PLTR,2021-04-01,29.5000,call,sell,2021-03-18T13:54:15.609051Z,credit,1.00000,limit,short_call,,0.42000000,1.00000
CRSR,2021-04-16,40.0000,call,buy,2021-03-18T13:50:52.090949Z,debit,1.00000,limit,,short_call,0.90000000,1.00000
PLTR,2021-03-26,30.5000,call,buy,2021-03-17T18:39:55.803518Z,debit,1.00000,limit,,short_call,0.20000000,1.00000
TTCF,2021-04-16,20.0000,put,sell,2021-03-17T18:02:51.071486Z,credit,1.00000,limit,short_put,,1.35000000,1.00000
CRSR,2021-04-16,40.0000,call,sell,2021-03-17T17:22:43.275407Z,credit,1.00000,limit,short_call,,1.00000000,1.00000
CLOV,2021-04-16,10.0000,call,sell,2021-03-17T13:46:36.240500Z,credit,1.00000,limit,short_call,,0.50000000,1.00000
TTCF,2021-03-19,20.0000,put,buy,2021-03-17T13:41:54.921842Z,debit,1.00000,limit,,short_put,0.15000000,1.00000
CRSR,2021-03-19,40.0000,call,buy,2021-03-16T19:43:34.927645Z,debit,1.00000,limit,,short_call,0.08000000,1.00000
PLTR,2021-03-26,30.5000,call,sell,2021-03-16T18:53:44.929440Z,credit,1.00000,limit,short_call,,0.29000000,1.00000
CLOV,2021-04-16,12.5000,call,buy,2021-03-16T18:49:04.102138Z,debit,1.00000,limit,,short_call,0.20000000,1.00000
MARA,2021-03-26,25.0000,put,sell,2021-03-16T18:35:00.333213Z,credit,1.00000,limit,short_put,,0.35000000,1.00000
MARA,2021-03-26,29.0000,put,buy,2021-03-16T18:19:55.938269Z,debit,1.00000,limit,,short_put,0.87000000,1.00000
RKT,2021-03-26,21.8900,put,sell,2021-03-16T18:10:10.668252Z,credit,1.00000,limit,short_put,,0.22000000,1.00000
PLTR,2021-03-19,31.5000,call,buy,2021-03-16T18:07:02.543657Z,debit,1.00000,limit,,short_call,0.04000000,1.00000
RKT,2021-03-26,22.3900,put,buy,2021-03-16T17:04:47.113940Z,debit,1.00000,limit,,short_put,0.28000000,1.00000
GOLD,2021-03-26,21.5000,call,sell,2021-03-16T17:03:42.788868Z,credit,1.00000,limit,short_call,,0.19000000,1.00000
SFT,2021-04-16,7.5000,put,sell,2021-03-16T14:32:46.270049Z,credit,1.00000,limit,short_put,,0.40000000,1.00000
MARA,2021-03-26,29.0000,put,sell,2021-03-16T13:53:41.804326Z,credit,1.00000,limit,short_put,,1.01000000,1.00000
PLTR,2021-03-19,25.0000,put,buy,2021-03-16T13:51:33.667496Z,debit,1.00000,limit,,short_put,0.39000000,1.00000
CLOV,2021-04-16,12.5000,call,sell,2021-03-15T17:59:59.999082Z,credit,1.00000,limit,short_call,,0.40000000,1.00000
VZ,2021-03-26,57.0000,call,sell,2021-03-15T17:28:58.178802Z,credit,1.00000,limit,short_call,,0.21000000,1.00000
GOLD,2021-03-19,22.0000,call,buy,2021-03-15T17:25:41.122170Z,debit,1.00000,limit,,short_call,0.05000000,1.00000
CLOV,2021-03-19,10.0000,call,buy,2021-03-15T17:22:39.178501Z,debit,1.00000,limit,,short_call,0.30000000,1.00000
RKT,2021-03-26,22.3900,put,sell,2021-03-15T17:10:06.002242Z,credit,1.00000,limit,short_put,,0.48000000,1.00000
NIO,2021-03-19,39.0000,put,buy,2021-03-15T16:32:55.396852Z,debit,1.00000,limit,,short_put,0.24000000,1.00000
PLTR,2021-03-19,31.5000,call,sell,2021-03-12T19:47:03.709368Z,credit,1.00000,limit,short_call,,0.19000000,1.00000
VZ,2021-03-19,57.0000,call,buy,2021-03-12T19:34:59.464934Z,debit,1.00000,limit,,short_call,0.18000000,1.00000
NIO,2021-03-19,39.0000,put,sell,2021-03-12T19:16:26.385542Z,credit,1.00000,limit,short_put,,0.41000000,1.00000
MARA,2021-03-19,29.5000,put,buy,2021-03-12T19:15:38.641561Z,debit,1.00000,limit,,short_put,0.63000000,1.00000
GOLD,2021-03-19,22.0000,call,sell,2021-03-12T18:53:17.571143Z,credit,1.00000,limit,short_call,,0.07000000,1.00000
GOLD,2021-03-19,21.5000,call,buy,2021-03-12T18:52:44.583730Z,debit,1.00000,limit,,short_call,0.11000000,1.00000
MARA,2021-03-19,29.5000,put,sell,2021-03-12T17:12:04.845548Z,credit,1.00000,limit,short_put,,0.66000000,1.00000
TTCF,2021-03-19,20.0000,put,sell,2021-03-12T16:54:32.678773Z,credit,1.00000,limit,short_put,,0.50000000,1.00000
TTCF,2021-03-19,22.5000,put,buy,2021-03-12T16:50:16.195449Z,debit,1.00000,limit,,short_put,1.90000000,1.00000
PLTR,2021-03-19,31.0000,call,buy,2021-03-12T16:25:02.653629Z,debit,1.00000,limit,,short_call,0.25000000,1.00000
DBX,2021-03-19,24.0000,put,buy,2021-03-12T16:24:07.315484Z,debit,1.00000,limit,,short_put,0.14000000,1.00000
VISL,2021-04-16,2.5000,put,buy,2021-03-12T15:42:00.971519Z,debit,1.00000,limit,,short_put,0.35000000,1.00000
DBX,2021-04-01,28.0000,call,sell,2021-03-12T15:01:07.479245Z,credit,1.00000,limit,short_call,,0.69000000,1.00000
DBX,2021-03-19,26.0000,call,buy,2021-03-12T14:59:42.738362Z,debit,1.00000,limit,,short_call,0.97000000,1.00000
DBX,2021-03-19,24.0000,put,sell,2021-03-11T20:31:14.133235Z,credit,1.00000,limit,short_put,,0.30000000,1.00000
VISL,2021-04-16,2.5000,put,sell,2021-03-11T20:27:17.822122Z,credit,1.00000,limit,short_put,,0.35000000,1.00000
RKT,2021-03-19,21.3900,put,buy,2021-03-11T19:45:27.836237Z,debit,1.00000,limit,,short_put,0.13000000,1.00000
PLTR,2021-03-19,25.0000,put,sell,2021-03-11T16:00:29.322509Z,credit,1.00000,limit,short_put,,0.74000000,1.00000
PLTR,2021-03-12,24.0000,put,buy,2021-03-11T15:56:53.467044Z,debit,1.00000,limit,,short_put,0.10000000,1.00000
VZ,2021-03-19,57.0000,call,sell,2021-03-11T15:19:42.982059Z,credit,1.00000,limit,short_call,,0.35000000,1.00000
SFT,2021-03-19,7.5000,put,buy,2021-03-11T14:48:34.593381Z,debit,1.00000,limit,,short_put,0.10000000,1.00000
VZ,2021-03-12,57.0000,call,buy,2021-03-11T14:37:38.203544Z,debit,1.00000,limit,,short_call,0.10000000,1.00000
DBX,2021-03-19,26.0000,call,sell,2021-03-10T14:35:36.600888Z,credit,1.00000,limit,short_call,,0.40000000,1.00000
RKT,2021-03-19,21.3900,put,sell,2021-03-10T14:34:33.567510Z,credit,1.00000,limit,short_put,,0.25000000,1.00000
NIO,2021-03-12,35.0000,put,buy,2021-03-10T14:31:58.121864Z,debit,1.00000,limit,,short_put,0.10000000,1.00000
PLTR,2021-03-19,31.0000,call,sell,2021-03-09T19:06:36.270390Z,credit,1.00000,limit,short_call,,0.26000000,1.00000
PLTR,2021-03-19,28.5000,call,buy,2021-03-09T18:32:02.685192Z,debit,1.00000,limit,,short_call,0.37000000,1.00000
SFT,2021-03-19,7.5000,put,sell,2021-03-09T16:34:48.650326Z,credit,1.00000,limit,short_put,,0.35000000,1.00000
GOLD,2021-03-19,21.5000,call,sell,2021-03-09T15:10:03.906411Z,credit,1.00000,limit,short_call,,0.15000000,1.00000
